Eval_Num,Num_timesteps,Num_burned,Num_unburned,Num_mitigated,Bench_timesteps,Bench_burned,Bench_unburned,Agent_burn_rate,Bench_burn_rate,Num_Saved,Percent_Area_Saved,Time_Saved,Percent_Time_Saved,Percent_Burn_Rate_Reduced
4,460,5612,10627,145,460,6839,8937,12.2,14.867391304347827,1835,13.415704050299752,0,0.0,17.94121947653167
6,536,8033,8105,246,536,8814,7281,14.986940298507463,16.44402985074627,1070,6.069888813251644,0,0.0,8.86090310869072
8,208,1832,14397,155,208,1808,14190,8.807692307692308,8.692307692307692,362,10.011061946902656,0,0.0,-1.3274336283186017
9,512,8152,8126,106,512,8374,7629,15.921875,16.35546875,603,3.6004299020778596,0,0.0,2.6510628134702614
10,600,9570,6780,34,600,9537,6770,15.95,15.895,44,0.2306805074971165,0,0.0,-0.3460207612456827
11,556,8491,7811,82,556,9103,7057,15.27158273381295,16.37230215827338,836,4.591892782599143,0,0.0,6.723058332417878
13,576,9471,6650,263,576,9327,6871,16.442708333333332,16.192708333333332,42,0.2251527822450949,0,0.0,-1.5439047925377878
14,388,3681,12424,279,388,5053,10885,9.487113402061855,13.02319587628866,1818,17.989313279240054,0,0.0,27.152186819711076
18,572,8744,7574,66,572,9294,6898,15.286713286713287,16.248251748251747,742,3.9918226812997637,0,0.0,5.917796427802884
20,320,4076,12141,167,320,3858,12159,12.7375,12.05625,149,1.9310523587350958,0,0.0,-5.65059616381545
22,52,27,16341,16,52,76,16208,0.5192307692307693,1.4615384615384615,149,98.02631578947368,0,0.0,64.4736842105263
23,28,4,16366,14,28,15,16321,0.14285714285714285,0.5357142857142857,59,196.66666666666666,0,0.0,73.33333333333333
